,round,year,company,segment,name,UnitSold,UnitInvent,RevDate,Age,MTBF,Pfmm,Size,Price,MatCost,LaborCost,ContrMarg,SecShiftOverTime,AutomationNextRd,CapNextRd,PlantUtilz,market_cap,market_size,performance_center,performance_ideal,size_center,size_ideal,AGE_ideal,PRICE_L,PRICE_H,MTBF_L,MTBF_H,radius,distance,distance_ideal
127,3.0,2024.0,Ferris,Size,Fume,604.0,0.0,2024-08-01,1.6,18000.0,4.7,8.4,34.0,12.26,8.61,0.39,0.0,4.0,700.0,0.83,3285.0,0.1,5.1,6.1,9.0,7.6,1.5,23.5,33.5,16000.0,21000.0,1,1.6124515496597098,0
128,3.0,2024.0,Ferris,Traditional,Fast,492.0,98.0,2024-01-29,4.4,17000.0,5.4,14.6,24.0,8.82,7.38,0.23,0.0,5.0,800.0,0.25,9619.0,0.29,7.1,7.1,12.9,12.9,2.0,21.0,31.0,14000.0,19000.0,1,2.4041630560342604,0
129,4.0,2025.0,Andrews,High End,ANew1,594.0,0.0,2025-07-16,1.2,24000.0,12.5,7.5,38.5,16.03,9.76,0.33,0.0,3.0,600.0,0.99,4656.0,0.13,11.1,12.5,8.9,7.5,0.0,28.0,38.0,20000.0,25000.0,1,0.0,0
130,4.0,2025.0,Andrews,High End,Adam,199.0,436.0,2023-05-06,4.2,23000.0,9.5,10.0,37.0,13.48,9.76,0.18,0.0,3.0,900.0,0.44,4656.0,0.13,11.1,12.5,8.9,7.5,0.0,28.0,38.0,20000.0,25000.0,1,3.905124837953327,0
131,4.0,2025.0,Andrews,Low End,Acre,1209.0,826.0,2017-05-25,8.6,14000.0,3.0,17.0,20.49,5.25,6.1,0.34,0.0,6.0,1400.0,0.74,13948.0,0.38,4.5,3.7,15.5,16.3,7.0,13.0,23.0,12000.0,17000.0,1,0.9899494936611661,0
132,4.0,2025.0,Andrews,Performance,Aft,507.0,188.0,2025-04-04,3.6,27000.0,12.0,14.0,33.0,14.54,8.54,0.28,0.0,4.0,600.0,0.96,3945.0,0.11,12.0,13.4,14.2,13.2,1.0,23.0,33.0,22000.0,27000.0,1,1.6124515496597107,0
133,4.0,2025.0,Andrews,Size,ANew2,208.0,0.0,2025-08-09,0.4,19000.0,7.0,6.0,33.5,13.45,9.76,0.3,0.0,3.0,600.0,0.35,3886.0,0.11,5.8,6.8,8.0,6.6,1.5,23.0,33.0,16000.0,21000.0,1,0.6324555320336757,0
134,4.0,2025.0,Andrews,Size,Agape,86.0,88.0,2019-05-25,6.6,19000.0,4.0,11.0,30.0,10.12,8.54,0.21,0.0,4.0,1.0,0.99,3886.0,0.11,5.8,6.8,8.0,6.6,1.5,23.0,33.0,16000.0,21000.0,1,5.215361924162119,0
135,4.0,2025.0,Andrews,Traditional,Able,1636.0,127.0,2025-07-22,1.8,17500.0,7.8,12.2,28.0,10.23,7.93,0.35,0.0,4.5,1800.0,0.88,10504.0,0.28,7.8,7.8,12.2,12.2,2.0,20.5,30.5,14000.0,19000.0,1,0.0,0
136,4.0,2025.0,Baldwin,High End,Baker2,227.0,372.0,2025-04-29,0.7,25000.0,13.4,6.6,38.5,15.25,9.93,0.21,1.0,3.0,850.0,1.33,4656.0,0.13,11.1,12.5,8.9,7.5,0.0,28.0,38.0,20000.0,25000.0,1,1.272792206135786,0
